HOPE single.dic evaluation (current pipeline)
============================================
Total entries: 1331
Primary correction passes: 1331
Primary correction failures: 0
Primary pass rate: 100.00%
Expected target available as primary or suggestion: 1331
Expected target absent from all candidates: 0
Candidate coverage: 100.00%

BEFORE VS CURRENT
Previous primary passes: 651
Current primary passes: 1331
Net primary change: +680

PRIMARY PASSES BY ENGINE
manual_single: 1331

ALL RESULTS
L1: addew -> għaddew | actual: għaddew | PRIMARY | manual_single | choices: għaddew
L40: baghat -> bagħat | actual: bagħat | PRIMARY | manual_single | choices: bagħat
L41: baghathom -> bagħathom | actual: bagħathom | PRIMARY | manual_single | choices: bagħathom
L42: baghathomlhom -> bagħathomlhom | actual: bagħathomlhom | PRIMARY | manual_single | choices: bagħathomlhom
L43: baghathomli -> bagħathomli | actual: bagħathomli | PRIMARY | manual_single | choices: bagħathomli
L44: baghatiela -> bagħathielha | actual: bagħathielha | PRIMARY | manual_single | choices: bagħathielha
L45: baghatilna -> bagħtilna | actual: bagħtilna | PRIMARY | manual_single | choices: bagħtilna
L46: baghatomli -> bagħathomli | actual: bagħathomli | PRIMARY | manual_single | choices: bagħathomli
L47: baghthomlha -> bgħatthomlha | actual: bgħatthomlha | PRIMARY | manual_single | choices: bgħatthomlha
L48: baghthomlix -> bagħathomlix | actual: bagħathomlix | PRIMARY | manual_single | choices: bagħathomlix
L49: baghthuha -> bagħtuha | actual: bagħtuha | PRIMARY | manual_single | choices: bagħtuha
L50: baghtilna -> bagħtilna | actual: bagħtilna | PRIMARY | manual_single | choices: bagħtilna
L51: baghtithielna -> bagħtithielna | actual: bagħtithielna | PRIMARY | manual_single | choices: bagħtithielna
L52: baghtitieli -> bagħtithieli | actual: bagħtithieli | PRIMARY | manual_single | choices: bagħtithieli
L53: baghtitilhom -> bagħtitilhom | actual: bagħtitilhom | PRIMARY | manual_single | choices: bagħtitilhom
L54: baghtitilna -> bagħtitilna | actual: bagħtitilna | PRIMARY | manual_single | choices: bagħtitilna
L55: baghtitli -> bagħtitli | actual: bagħtitli | PRIMARY | manual_single | choices: bagħtitli
L56: baghtli -> bagħatli | actual: bagħatli | PRIMARY | manual_single | choices: bagħatli
L57: baghtu -> bagħtu | actual: bagħtu | PRIMARY | manual_single | choices: bagħtu
L58: baghtuhomli -> bagħtuhomli | actual: bagħtuhomli | PRIMARY | manual_single | choices: bagħtuhomli
L59: baghtulek -> bagħtulek | actual: bagħtulek | PRIMARY | manual_single | choices: bagħtulek
L60: baghtuli -> bagħtuli | actual: bagħtuli | PRIMARY | manual_single | choices: bagħtuli
L61: baghtulu -> bagħthulu | actual: bagħthulu | PRIMARY | manual_single | choices: bagħthulu
L62: bahar -> baħar | actual: baħar | PRIMARY | manual_single | choices: baħar
L63: baqa -> baqa' | actual: baqa' | PRIMARY | manual_single | choices: baqa'
L64: baqaw -> baqgħu | actual: baqgħu | PRIMARY | manual_single | choices: baqgħu
L66: baqghet -> baqgħet | actual: baqgħet | PRIMARY | manual_single | choices: baqgħet
L67: basti -> Basti | actual: Basti | PRIMARY | manual_single | choices: Basti
L68: battomlom -> bgħatthomlhom | actual: bgħatthomlhom | PRIMARY | manual_single | choices: bgħatthomlhom
L69: behsibni -> beħsibni | actual: beħsibni | PRIMARY | manual_single | choices: beħsibni
L70: bejħ -> bejgħ | actual: bejgħ | PRIMARY | manual_single | choices: bejgħ
L71: beza -> beża' | actual: beża' | PRIMARY | manual_single | choices: beża'
L72: bezaqli -> beżaqli | actual: beżaqli | PRIMARY | manual_single | choices: beżaqli
L73: bghattilha -> bgħattilha | actual: bgħattilha | PRIMARY | manual_single | choices: bgħattilha
L74: bghattilom -> bgħattilhom | actual: bgħattilhom | PRIMARY | manual_single | choices: bgħattilhom
L75: bhal -> bħal | actual: bħal | PRIMARY | manual_single | choices: bħal
L76: bhala -> bħala | actual: bħala | PRIMARY | manual_single | choices: bħala
L77: bhalek -> bħalek | actual: bħalek | PRIMARY | manual_single | choices: bħalek
L78: bhali -> bħali | actual: bħali | PRIMARY | manual_single | choices: bħali
L79: bhalissa -> bħalissa | actual: bħalissa | PRIMARY | manual_single | choices: bħalissa
L80: bhalom -> bħalhom | actual: bħalhom | PRIMARY | manual_single | choices: bħalhom
L81: bicca -> biċċa | actual: biċċa | PRIMARY | manual_single | choices: biċċa
L82: bieh -> bih | actual: bih | PRIMARY | manual_single | choices: bih
L83: bintom -> binthom | actual: binthom | PRIMARY | manual_single | choices: binthom
L84: bizzejjed -> biżżejjed | actual: biżżejjed | PRIMARY | manual_single | choices: biżżejjed
L85: bongu -> bonġu | actual: bonġu | PRIMARY | manual_single | choices: bonġu
L86: borg -> borġ | actual: borġ | PRIMARY | manual_single | choices: borġ
L87: bzonn -> bżonn | actual: bżonn | PRIMARY | manual_single | choices: bżonn
L88: cara -> ċara | actual: ċara | PRIMARY | manual_single | choices: ċara
L89: cari -> ċari | actual: ċari | PRIMARY | manual_single | choices: ċari
L90: cavetta -> ċavetta | actual: ċavetta | PRIMARY | manual_single | choices: ċavetta
L91: ccempel -> ċċempel | actual: ċċempel | PRIMARY | manual_single | choices: ċċempel
L92: cempel -> ċempel | actual: ċempel | PRIMARY | manual_single | choices: ċempel
L93: cempillek -> ċempillek | actual: ċempillek | PRIMARY | manual_single | choices: ċempillek
L94: cempilli -> ċempilli | actual: ċempilli | PRIMARY | manual_single | choices: ċempilli
L95: cempilt -> ċempilt | actual: ċempilt | PRIMARY | manual_single | choices: ċempilt
L96: cempiltila -> ċempiltilha | actual: ċempiltilha | PRIMARY | manual_single | choices: ċempiltilha
L97: cempiltilha -> ċempiltilha | actual: ċempiltilha | PRIMARY | manual_single | choices: ċempiltilha
L98: cempiltli -> ċemplitli | actual: ċemplitli | PRIMARY | manual_single | choices: ċemplitli
L99: cempiltlu -> ċempiltlu | actual: ċempiltlu | PRIMARY | manual_single | choices: ċempiltlu
L100: cemplitli -> ċemplitli | actual: ċemplitli | PRIMARY | manual_single | choices: ċemplitli
L101: centrali -> ċentrali | actual: ċentrali | PRIMARY | manual_single | choices: ċentrali
L102: centru -> ċentru | actual: ċentru | PRIMARY | manual_single | choices: ċentru
L103: cert -> ċert | actual: ċert | PRIMARY | manual_single | choices: ċert
L104: certa -> ċerta | actual: ċerta | PRIMARY | manual_single | choices: ċerta
L105: certi -> ċerti | actual: ċerti | PRIMARY | manual_single | choices: ċerti
L106: Cipru -> Ċipru | actual: Ċipru | PRIMARY | manual_single | choices: Ċipru
L107: cwievet -> ċwievet | actual: ċwievet | PRIMARY | manual_single | choices: ċwievet
L108: da -> dan | actual: dan | PRIMARY | manual_single | choices: dan
L109: dahal -> daħal | actual: daħal | PRIMARY | manual_single | choices: daħal
L110: dahlet -> daħlet | actual: daħlet | PRIMARY | manual_single | choices: daħlet
L111: dahlu -> daħlu | actual: daħlu | PRIMARY | manual_single | choices: daħlu
L112: dahna -> daħna | actual: daħna | PRIMARY | manual_single | choices: daħna
L113: dajjes -> dgħajjes | actual: dgħajjes | PRIMARY | manual_single | choices: dgħajjes
L114: dalghodu -> dalgħodu | actual: dalgħodu | PRIMARY | manual_single | choices: dalgħodu
L115: dalwaqy -> dalwaqt | actual: dalwaqt | PRIMARY | manual_single | choices: dalwaqt
L116: decizjoni -> deċiżjoni | actual: deċiżjoni | PRIMARY | manual_single | choices: deċiżjoni
L117: decizjonijiet -> deċiżjonijiet | actual: deċiżjonijiet | PRIMARY | manual_single | choices: deċiżjonijiet
L118: dehlin -> deħlin | actual: deħlin | PRIMARY | manual_single | choices: deħlin
L119: dejem -> dejjem | actual: dejjem | PRIMARY | manual_single | choices: dejjem
L120: derx -> deherx | actual: deherx | PRIMARY | manual_single | choices: deherx
L121: dghajsa -> dgħajsa | actual: dgħajsa | PRIMARY | manual_single | choices: dgħajsa
L122: dhalt -> dħalt | actual: dħalt | PRIMARY | manual_single | choices: dħalt
L123: dher -> deher | actual: deher | PRIMARY | manual_single | choices: deher
L124: di -> din | actual: din | PRIMARY | manual_single | choices: din
L125: dicembru -> Diċembru | actual: Diċembru | PRIMARY | manual_single | choices: Diċembru
L126: diehel -> dieħel | actual: dieħel | PRIMARY | manual_single | choices: dieħel
L127: diehla -> dieħla | actual: dieħla | PRIMARY | manual_single | choices: dieħla
L128: difficcli -> diffiċli | actual: diffiċli | PRIMARY | manual_single | choices: diffiċli
L129: difficli -> diffiċli | actual: diffiċli | PRIMARY | manual_single | choices: diffiċli
L130: diga -> diġà | actual: diġà | PRIMARY | manual_single | choices: diġà
L131: dinjita -> dinjità | actual: dinjità | PRIMARY | manual_single | choices: dinjità
L132: dipartament -> dipartiment | actual: dipartiment | PRIMARY | manual_single | choices: dipartiment
L133: disgha -> disgħa | actual: disgħa | PRIMARY | manual_single | choices: disgħa
L134: ed -> qed | actual: qed | PRIMARY | manual_single | choices: qed
L135: edd -> qed | actual: qed | PRIMARY | manual_single | choices: qed
L136: ehxen -> eħxen | actual: eħxen | PRIMARY | manual_single | choices: eħxen
L137: ekk -> hekk | actual: hekk | PRIMARY | manual_single | choices: hekk
L138: electroniku -> elettroniku | actual: elettroniku | PRIMARY | manual_single | choices: elettroniku
L139: em -> hemm | actual: hemm | PRIMARY | manual_single | choices: hemm
L140: erbejn -> erbgħin | actual: erbgħin | PRIMARY | manual_single | choices: erbgħin
L141: erbgha -> erbgħa | actual: erbgħa | PRIMARY | manual_single | choices: erbgħa
L142: erbghin -> erbgħin | actual: erbgħin | PRIMARY | manual_single | choices: erbgħin
L143: ergajt -> erġajt | actual: erġajt | PRIMARY | manual_single | choices: erġajt
L144: ergà -> erġa' | actual: erġa' | PRIMARY | manual_single | choices: erġa'
L145: esperjrnza -> esperjenza | actual: esperjenza | PRIMARY | manual_single | choices: esperjenza
L146: et -> qed | actual: qed | PRIMARY | manual_single | choices: qed
L147: etlu -> għedtlu | actual: għedtlu | PRIMARY | manual_single | choices: għedtlu
L148: ett -> qed | actual: qed | PRIMARY | manual_single | choices: qed
L149: ettlu -> għedtlu | actual: għedtlu | PRIMARY | manual_single | choices: għedtlu
L150: ezami -> eżami | actual: eżami | PRIMARY | manual_single | choices: eżami
L151: ezatt -> eżatt | actual: eżatt | PRIMARY | manual_single | choices: eżatt
L152: ezempji -> eżempji | actual: eżempji | PRIMARY | manual_single | choices: eżempji
L153: ezempju -> eżempju | actual: eżempju | PRIMARY | manual_single | choices: eżempju
L154: f'ghoxx -> f'għoxx | actual: f'għoxx | PRIMARY | manual_single | choices: f'għoxx
L155: facli -> faċli | actual: faċli | PRIMARY | manual_single | choices: faċli
L156: fakkartom -> fakkarthom | actual: fakkarthom | PRIMARY | manual_single | choices: fakkarthom
L157: fakulta -> fakultà | actual: fakultà | PRIMARY | manual_single | choices: fakultà
L158: faqqalu -> faqqagħlu | actual: faqqagħlu | PRIMARY | manual_single | choices: faqqagħlu
L159: fazijiet -> fażijiet | actual: fażijiet | PRIMARY | manual_single | choices: fażijiet
L160: felici -> feliċi | actual: feliċi | PRIMARY | manual_single | choices: feliċi
L161: femitx -> fehmitx | actual: fehmitx | PRIMARY | manual_single | choices: fehmitx
L162: ferah -> feraħ | actual: feraħ | PRIMARY | manual_single | choices: feraħ
L163: fetah -> fetaħ | actual: fetaħ | PRIMARY | manual_single | choices: fetaħ
L164: fethet -> fetħet | actual: fetħet | PRIMARY | manual_single | choices: fetħet
L165: fhemtiex -> fhimthiex | actual: fhimthiex | PRIMARY | manual_single | choices: fhimthiex
L166: fieqtx -> fiqtx | actual: fiqtx | PRIMARY | manual_single | choices: fiqtx
L167: filaxija -> filgħaxija | actual: filgħaxija | PRIMARY | manual_single | choices: filgħaxija
L168: filghaxija -> filgħaxija | actual: filgħaxija | PRIMARY | manual_single | choices: filgħaxija
L169: filghodu -> filgħodu | actual: filgħodu | PRIMARY | manual_single | choices: filgħodu
L170: filodu -> filgħodu | actual: filgħodu | PRIMARY | manual_single | choices: filgħodu
L171: filoghodu -> filgħodu | actual: filgħodu | PRIMARY | manual_single | choices: filgħodu
L172: fimtux -> fhimtux | actual: fhimtux | PRIMARY | manual_single | choices: fhimtux
L173: flixken -> fliexken | actual: fliexken | PRIMARY | manual_single | choices: fliexken
L174: frieghi -> friegħi | actual: friegħi | PRIMARY | manual_single | choices: friegħi
L175: ftahtilha -> ftaħtilha | actual: ftaħtilha | PRIMARY | manual_single | choices: ftaħtilha
L176: ftahtilom -> ftaħtilhom | actual: ftaħtilhom | PRIMARY | manual_single | choices: ftaħtilhom
L177: ftahtlu -> ftaħtlu | actual: ftaħtlu | PRIMARY | manual_single | choices: ftaħtlu
L178: ftahtom -> ftaħthom | actual: ftaħthom | PRIMARY | manual_single | choices: ftaħthom
L179: ftahtu -> ftaħtu | actual: ftaħtu | PRIMARY | manual_single | choices: ftaħtu
L180: ftehmna -> ftehemna | actual: ftehemna | PRIMARY | manual_single | choices: ftehemna
L181: fuqa -> fuqha | actual: fuqha | PRIMARY | manual_single | choices: fuqha
L182: gabru -> ġabru | actual: ġabru | PRIMARY | manual_single | choices: ġabru
L183: gakketta -> ġakketta | actual: ġakketta | PRIMARY | manual_single | choices: ġakketta
L184: gdid -> ġdid | actual: ġdid | PRIMARY | manual_single | choices: ġdid
L185: gdida -> ġdida | actual: ġdida | PRIMARY | manual_single | choices: ġdida
L186: gejt -> ġejt | actual: ġejt | PRIMARY | manual_single | choices: ġejt
L187: generazzjoni -> ġenerazzjoni | actual: ġenerazzjoni | PRIMARY | manual_single | choices: ġenerazzjoni
L188: generazzjonijiet -> ġenerazzjonijiet | actual: ġenerazzjonijiet | PRIMARY | manual_single | choices: ġenerazzjonijiet
L189: genituri -> ġenituri | actual: ġenituri | PRIMARY | manual_single | choices: ġenituri
L190: genna -> ġenna | actual: ġenna | PRIMARY | manual_single | choices: ġenna
L191: Gesu -> Ġesù | actual: Ġesù | PRIMARY | manual_single | choices: Ġesù
L192: gew -> ġew | actual: ġew | PRIMARY | manual_single | choices: ġew
L193: gewwa -> ġewwa | actual: ġewwa | PRIMARY | manual_single | choices: ġewwa
L194: ghad -> għad | actual: għad | PRIMARY | manual_single | choices: għad
L195: ghadd -> għadd | actual: għadd | PRIMARY | manual_single | choices: għadd
L196: ghadda -> għadda | actual: għadda | PRIMARY | manual_single | choices: għadda
L197: ghaddej -> għaddej | actual: għaddej | PRIMARY | manual_single | choices: għaddej
L198: ghaddejjin -> għaddejjin | actual: għaddejjin | PRIMARY | manual_single | choices: għaddejjin
L199: ghaddejna -> għaddejna | actual: għaddejna | PRIMARY | manual_single | choices: għaddejna
L200: ghaddejt -> għaddejt | actual: għaddejt | PRIMARY | manual_single | choices: għaddejt
L201: ghaddew -> għaddew | actual: għaddew | PRIMARY | manual_single | choices: għaddew
L202: ghaddiet -> għaddiet | actual: għaddiet | PRIMARY | manual_single | choices: għaddiet
L203: ghaddietx -> għaddietx | actual: għaddietx | PRIMARY | manual_single | choices: għaddietx
L204: ghadejjin -> għaddejjin | actual: għaddejjin | PRIMARY | manual_single | choices: għaddejjin
L205: ghadek -> għadek | actual: għadek | PRIMARY | manual_single | choices: għadek
L206: ghadha -> għadha | actual: għadha | PRIMARY | manual_single | choices: għadha
L207: ghadhekk -> għadek | actual: għadek | PRIMARY | manual_single | choices: għadek
L208: ghadhom -> għadhom | actual: għadhom | PRIMARY | manual_single | choices: għadhom
L209: ghadhu -> għadu | actual: għadu | PRIMARY | manual_single | choices: għadu
L210: ghadna -> għadna | actual: għadna | PRIMARY | manual_single | choices: għadna
L211: ghadni -> għadni | actual: għadni | PRIMARY | manual_single | choices: għadni
L212: ghadom -> għadhom | actual: għadhom | PRIMARY | manual_single | choices: għadhom
L213: ghadu -> għadu | actual: għadu | PRIMARY | manual_single | choices: għadu
L214: ghajjenin -> għajjenin | actual: għajjenin | PRIMARY | manual_single | choices: għajjenin
L215: ghajjien -> għajjien | actual: għajjien | PRIMARY | manual_single | choices: għajjien
L216: ghajn -> għajn | actual: għajn | PRIMARY | manual_single | choices: għajn
L217: ghajneja -> għajnejha | actual: għajnejha | PRIMARY | manual_single | choices: għajnejha
L218: ghajnejja -> għajnejja | actual: għajnejja | PRIMARY | manual_single | choices: għajnejja
L219: ghajnuna -> għajnuna | actual: għajnuna | PRIMARY | manual_single | choices: għajnuna
L220: ghal -> għal | actual: għal | PRIMARY | manual_single | choices: għal
L221: ghalaqhieli -> għalaqhieli | actual: għalaqhieli | PRIMARY | manual_single | choices: għalaqhieli
L222: ghalaqhomli -> għalaqhomli | actual: għalaqhomli | PRIMARY | manual_single | choices: għalaqhomli
L223: ghalaqhuli -> għalaqhuli | actual: għalaqhuli | PRIMARY | manual_single | choices: għalaqhuli
L224: ghalaqlu -> għalaqlu | actual: għalaqlu | PRIMARY | manual_single | choices: għalaqlu
L225: ghalaqna -> għalaqna | actual: għalaqna | PRIMARY | manual_single | choices: għalaqna
L226: ghalekk -> għalhekk | actual: għalhekk | PRIMARY | manual_single | choices: għalhekk
L227: ghalfejn -> għalfejn | actual: għalfejn | PRIMARY | manual_single | choices: għalfejn
L228: ghalhekk -> għalhekk | actual: għalhekk | PRIMARY | manual_single | choices: għalhekk
L229: ghaliex -> għaliex | actual: għaliex | PRIMARY | manual_single | choices: għaliex
L230: ghaliha -> għaliha | actual: għaliha | PRIMARY | manual_single | choices: għaliha
L231: ghalihom -> għalihom | actual: għalihom | PRIMARY | manual_single | choices: għalihom
L232: ghalija -> għalija | actual: għalija | PRIMARY | manual_single | choices: għalija
L233: ghalik -> għalik | actual: għalik | PRIMARY | manual_single | choices: għalik
L234: ghalkemm -> għalkemm | actual: għalkemm | PRIMARY | manual_single | choices: għalkemm
L235: ghalliem -> għalliem | actual: għalliem | PRIMARY | manual_single | choices: għalliem
L236: ghalmenu -> almenu | actual: almenu | PRIMARY | manual_single | choices: almenu
L237: ghalqa -> għalqa | actual: għalqa | PRIMARY | manual_single | choices: għalqa
L238: ghalqet -> għalqet | actual: għalqet | PRIMARY | manual_single | choices: għalqet
L239: ghalqna -> għalaqna | actual: għalaqna | PRIMARY | manual_single | choices: għalaqna
L240: ghalqu -> għalqu | actual: għalqu | PRIMARY | manual_single | choices: għalqu
L241: ghamel -> għamel | actual: għamel | PRIMARY | manual_single | choices: għamel
L242: ghamilhieli -> agħmilhieli | actual: agħmilhieli | PRIMARY | manual_single | choices: agħmilhieli
L243: ghamilhielna -> għamilhielna | actual: għamilhielna | PRIMARY | manual_single | choices: għamilhielna
L244: ghamilhomli -> agħmilhomli | actual: agħmilhomli | PRIMARY | manual_single | choices: agħmilhomli
L245: ghamilhuli -> agħmilhuli | actual: agħmilhuli | PRIMARY | manual_single | choices: agħmilhuli
L246: ghamilna -> għamilna | actual: għamilna | PRIMARY | manual_single | choices: għamilna
L247: ghamilt -> għamilt | actual: għamilt | PRIMARY | manual_single | choices: għamilt
L248: ghamilthomlhom -> għamilthomlhom | actual: għamilthomlhom | PRIMARY | manual_single | choices: għamilthomlhom
L249: ghamilthulu -> għamilthielu | actual: għamilthielu | PRIMARY | manual_single | choices: għamilthielu
L250: ghamiltielha -> għamilthielha | actual: għamilthielha | PRIMARY | manual_single | choices: għamilthielha
L251: ghamiltielu -> għamiltielu | actual: għamiltielu | PRIMARY | manual_single | choices: għamiltielu
L252: ghamiltilha -> għamiltilha | actual: għamiltilha | PRIMARY | manual_single | choices: għamiltilha
L253: ghamiltilom -> għamiltilhom | actual: għamiltilhom | PRIMARY | manual_single | choices: għamiltilhom
L254: ghamlithielna -> għamlithielna | actual: għamlithielna | PRIMARY | manual_single | choices: għamlithielna
L255: ghan -> għan | actual: għan | PRIMARY | manual_single | choices: għan
L256: ghand -> għand | actual: għand | PRIMARY | manual_single | choices: għand
L257: ghandek -> għandek | actual: għandek | PRIMARY | manual_single | choices: għandek
L258: ghandha -> għandha | actual: għandha | PRIMARY | manual_single | choices: għandha
L259: ghandhiex -> għandhiex | actual: għandhiex | PRIMARY | manual_single | choices: għandhiex
L260: ghandhom -> għandhom | actual: għandhom | PRIMARY | manual_single | choices: għandhom
L261: ghandhomx -> għandhomx | actual: għandhomx | PRIMARY | manual_single | choices: għandhomx
L262: ghandi -> għandi | actual: għandi | PRIMARY | manual_single | choices: għandi
L263: ghandiex -> għandhiex | actual: għandhiex | PRIMARY | manual_single | choices: għandhiex
L264: ghandix -> għandix | actual: għandix | PRIMARY | manual_single | choices: għandix
L265: ghandna -> għandna | actual: għandna | PRIMARY | manual_single | choices: għandna
L266: ghandom -> għandhom | actual: għandhom | PRIMARY | manual_single | choices: għandhom
L267: ghandu -> għandu | actual: għandu | PRIMARY | manual_single | choices: għandu
L268: ghandux -> għandux | actual: għandux | PRIMARY | manual_single | choices: għandux
L269: ghanna -> għandna | actual: għandna | PRIMARY | manual_single | choices: għandna
L270: gharafthiex -> għarafthiex | actual: għarafthiex | PRIMARY | manual_single | choices: għarafthiex
L271: gharfien -> għarfien | actual: għarfien | PRIMARY | manual_single | choices: għarfien
L272: ghatu -> għatu | actual: għatu | PRIMARY | manual_single | choices: għatu
L273: ghax -> għax | actual: għax | PRIMARY | manual_single | choices: għax
L274: ghaxar -> għaxar | actual: għaxar | PRIMARY | manual_single | choices: għaxar
L275: ghaxra -> għaxra | actual: għaxra | PRIMARY | manual_single | choices: għaxra
L276: ghazel -> għażel | actual: għażel | PRIMARY | manual_single | choices: għażel
L277: ghazilna -> għażilna | actual: għażilna | PRIMARY | manual_single | choices: għażilna
L278: ghaziz -> għażiż | actual: għażiż | PRIMARY | manual_single | choices: għażiż
L279: ghazla -> għażla | actual: għażla | PRIMARY | manual_single | choices: għażla
L280: ghazlu -> għażlu | actual: għażlu | PRIMARY | manual_single | choices: għażlu
L281: ghed -> qed | actual: qed | PRIMARY | manual_single | choices: qed
L282: ghednilha -> għednielha | actual: għednielha | PRIMARY | manual_single | choices: għednielha
L283: ghedtilom -> għedtilhom | actual: għedtilhom | PRIMARY | manual_single | choices: għedtilhom
L284: ghedtlu -> għedtlu | actual: għedtlu | PRIMARY | manual_single | choices: għedtlu
L285: ghelieqi -> għelieqi | actual: għelieqi | PRIMARY | manual_single | choices: għelieqi
L286: ghendek -> għandek | actual: għandek | PRIMARY | manual_single | choices: għandek
L287: ghentu -> għentu | actual: għentu | PRIMARY | manual_single | choices: għentu
L288: ghenuni -> għenuni | actual: għenuni | PRIMARY | manual_single | choices: għenuni
L289: gheruq -> għeruq | actual: għeruq | PRIMARY | manual_single | choices: għeruq
L290: ghet -> qed | actual: qed | PRIMARY | manual_single | choices: qed
L291: ghid -> Għid | actual: Għid | PRIMARY | manual_single | choices: Għid
L292: ghidli -> għidli | actual: għidli | PRIMARY | manual_single | choices: għidli
L293: ghidnilhom -> għednielhom | actual: għednielhom | PRIMARY | manual_single | choices: għednielhom
L294: ghidt -> għedt | actual: għedt | PRIMARY | manual_single | choices: għedt
L295: ghidtila -> għedtilha | actual: għedtilha | PRIMARY | manual_single | choices: għedtilha
L296: ghidtilha -> għedtilha | actual: għedtilha | PRIMARY | manual_single | choices: għedtilha
L297: ghidtlek -> għedtlek | actual: għedtlek | PRIMARY | manual_single | choices: għedtlek
L298: ghidtlu -> għedtlu | actual: għedtlu | PRIMARY | manual_single | choices: għedtlu
L299: ghintu -> għentu | actual: għentu | PRIMARY | manual_single | choices: għentu
L300: ghodda -> għodda | actual: għodda | PRIMARY | manual_single | choices: għodda
L301: ghogbitni -> għoġbitni | actual: għoġbitni | PRIMARY | manual_single | choices: għoġbitni
L302: ghogbu -> għoġbu | actual: għoġbu | PRIMARY | manual_single | choices: għoġbu
L303: gholi -> għoli | actual: għoli | PRIMARY | manual_single | choices: għoli
L304: gholja -> għolja | actual: għolja | PRIMARY | manual_single | choices: għolja
L305: gholjin -> għoljin | actual: għoljin | PRIMARY | manual_single | choices: għoljin
L306: gholla -> għolla | actual: għolla | PRIMARY | manual_single | choices: għolla
L307: ghollieha -> għollieha | actual: għollieha | PRIMARY | manual_single | choices: għollieha
L308: ghomri -> għomri | actual: għomri | PRIMARY | manual_single | choices: għomri
L309: ghoxrin -> għoxrin | actual: għoxrin | PRIMARY | manual_single | choices: għoxrin
