TOTAL EVALUATED: 1331
OVERALL PRIMARY PASSES: 920 / 1331
OVERALL CANDIDATE COVERAGE: 962 / 1331

CATEGORY 1 TOTAL: 42
L5: aghtihili -> agħtihieli | actual #1: agħtihili | choices: ['agħtihili', 'agħtihieli', 'agħtuhili', 'agħtiehieli', 'agħtihielie']
L15: ala -> għala | actual #1: ħala | choices: ['ħala', 'alla', 'għala', 'ħalla', 'għalla']
L18: alqet -> għalqet | actual #1: ħalqet | choices: ['ħalqet', 'għalqet', 'ħallqet', 'għallqet']
L21: amiltlu -> għamiltlu | actual #1: amilthlu | choices: ['amilthlu', 'għamiltlu']
L22: amlet -> għamlet | actual #1: ħamlet | choices: ['ħamlet', 'għamlet', 'ħammlet']
L36: ax -> għax | actual #1: ħax | choices: ['ħax', 'għax']
L63: baqa -> baqa' | actual #1: baqqa | choices: ['baqqa', "baqa'", 'baqgħa', "b'aqa'", "baqqa'"]
L80: bhalom -> bħalhom | actual #1: bhalhom | choices: ['bhalhom', 'bħalhom', 'bhalhhom']
L170: filodu -> filgħodu | actual #1: f'lodu | choices: ["f'lodu", 'filgħodu']
L209: ghadhu -> għadu | actual #1: għaddu | choices: ['għaddu', 'għadu', 'ħaddu', 'ħadu']
L212: ghadom -> għadhom | actual #1: ghadhom | choices: ['ghadhom', 'għadhom']
L266: ghandom -> għandhom | actual #1: ghandhom | choices: ['ghandhom', 'għandhom']
L297: ghidtlek -> għedtlek | actual #1: ghidtlhek | choices: ['ghidtlhek', 'għedtlek']
L298: ghidtlu -> għedtlu | actual #1: ghidthlu | choices: ['ghidthlu', 'għedtlu']
L320: gieh -> ġieħ | actual #1: ġieh | choices: ['ġieh', 'ġieħ', 'ġie']
L496: illami -> llami | actual #1: ilami | choices: ['ilami', 'llami']
L567: isma -> isma' | actual #1: ishma | choices: ['ishma', "isma'"]
L580: izar -> iżgħar | actual #1: iżhar | choices: ['iżhar', 'żar', 'iżgħar']
L675: jilghabu -> jilagħbu | actual #1: jilgħabu | choices: ['jilgħabu', 'jilagħbu']
L698: jitfahha -> jitfagħha | actual #1: jitfa'ha | choices: ["jitfa'ha", 'jitfagħha', "jietfa'ha", 'jietfagħha']
L757: laqa -> laqa' | actual #1: laħqa | choices: ['laħqa', "laqa'", 'lagħqa', 'laqgħa', "l'aqa'"]
L772: leja -> lejja | actual #1: lejha | choices: ['lejha', 'lejja', 'leħja', 'ħlejja', "l'għeja"]
L818: minom -> minnhom | actual #1: minhom | choices: ['minhom', "m'nom", 'minnhom']
L854: nghajjtu -> ngħajtu | actual #1: ngħajjtu | choices: ['ngħajjtu', 'ngħajtu', 'nħajtu']
L878: niccelebrawħ -> niċċelebrawh | actual #1: niċċelebraw | choices: ['niċċelebraw', 'niċċelebrawh']
L915: nitallmu -> nitgħallmu | actual #1: nitħallmu | choices: ['nitħallmu', 'nitgħallmu']
L934: noqghodu -> noqogħdu | actual #1: noqgħodu | choices: ['noqgħodu', "n'oqgħodu", 'noqogħdu']
L943: nużaħ -> nużah | actual #1: nuża | choices: ['nuża', 'nużah']
L1030: qrajta -> qrajtha | actual #1: qrajta | choices: ['qrajtha']
L1036: raba -> raba' | actual #1: rabba | choices: ['rabba', 'rahba', "raba'", 'ragħba', "rabba'"]
L1040: rajta -> rajtha | actual #1: rajta | choices: ['rajtha']
L1047: rcivejtom -> rċivejthom | actual #1: rcivejthom | choices: ['rcivejthom', 'rċivejthom', 'rcivejthhom']
L1070: semanix -> semagħnix | actual #1: sema'nix | choices: ["sema'nix", "sema'niex", 'semagħnix', 'semminix', 'semagħniex']
L1081: shah -> sħaħ | actual #1: sħah | choices: ['sħah', 'sħaħ', 'saħ', 'sa', 'saħħ']
L1126: tajta -> tajtha | actual #1: tajta | choices: ['tajtha']
L1129: tallimt -> tgħallimt | actual #1: tħallimt | choices: ['tħallimt', 'tgħallimt', "t'għallimt"]
L1191: tijek -> tiegħek | actual #1: t'jek | choices: ["t'jek", 'tiegħek']
L1192: tijew -> tiegħu | actual #1: t'jew | choices: ["t'jew", 'tiegħu']
L1207: titallem -> titgħallem | actual #1: titħallem | choices: ['titħallem', 'titgħallem']
L1228: tqatta -> tqatta' | actual #1: t'qatta | choices: ["t'qatta", "tqatta'", "t'qatta'", "tqata'"]
L1268: wegga -> weġġa' | actual #1: weġġaħ | choices: ['weġġaħ', "weġġa'", "weġa'"]
L1300: xtrajta -> xtrajtha | actual #1: xtrajta | choices: ['xtrajtha']

CATEGORY 2 TOTAL: 161
CATEGORY 2 PRIMARY PASSES: 75 / 161
CATEGORY 2 COVERAGE: 83 / 161

CATEGORY 2 FAILURES:
L5: aghtihili -> agħtihieli | actual #1: agħtihili | [SUGGESTED] | choices: ['agħtihili', 'agħtihieli', 'agħtuhili', 'agħtiehieli', 'agħtihielie']
L505: imlieli -> imlihieli | actual #1: imlili | [MISSING] | choices: ['imlili', 'mlili']
L511: incempilha -> inċemplilha | actual #1: nċempilha | [MISSING] | choices: ['nċempilha', 'nċempielha']
L527: inhawadhom -> inħawwadhom | actual #1: inhawadhom | [MISSING] | choices: []
L562: irrangajieli -> irranġahieli | actual #1: rranġahieli | [MISSING] | choices: ['rranġahieli']
L564: irrangathieli -> irranġathieli | actual #1: ranġathieli | [MISSING] | choices: ['ranġathieli']
L574: itijhom -> jtihom | actual #1: itfiehom | [MISSING] | choices: ['itfiehom', 'itfihom', 'itfuhom', 'itwiehom', 'itwihom']
L584: izommhieli -> iżommhieli | actual #1: żommhieli | [MISSING] | choices: ['żommhieli', 'żammhieli', 'żommhielie', 'żommhili']
L598: jaghtijieli -> jagħtihieli | actual #1: jaghtijieli | [MISSING] | choices: []
L607: jajdula -> jgħidulha | actual #1: jajdula | [MISSING] | choices: []
L627: jghamilha -> jagħmilha | actual #1: jgħammilha | [MISSING] | choices: ['jgħammilha', 'jgħammielha']
L720: jorukhom -> jurukom | actual #1: għorokhom | [MISSING] | choices: ['għorokhom']
L739: kitbitielhom -> kitbitilhom | actual #1: kitbithielhom | [MISSING] | choices: ['kitbithielhom', 'kietbithielhom', 'kitbiethielhom', 'kitbithilhom']
L804: mghamila -> m'għamilha | actual #1: m'għamela | [MISSING] | choices: ["m'għamela"]
L818: minom -> minnhom | actual #1: minhom | [SUGGESTED] | choices: ['minhom', "m'nom", 'minnhom']
L832: naghmlilhomlhom -> nagħmilhomlhom | actual #1: naghmlilhomlhom | [MISSING] | choices: []
L847: nehodhom -> neħodhom | actual #1: nehidhom | [MISSING] | choices: ['nehidhom', 'nehduhom', 'nehiedhom']
L862: nibaghtielha -> nibagħthielha | actual #1: nibaghtielha | [MISSING] | choices: []
L864: nibatlu -> nibgħatlu | actual #1: n'batlu | [MISSING] | choices: ["n'batlu", 'nibathlu']
L870: nibghathulu -> nibagħthulu | actual #1: nibgħathulu | [MISSING] | choices: ['nibgħathulu']
L871: nibghatilha -> nibagħtilha | actual #1: nibgħtilha | [MISSING] | choices: ['nibgħtilha', 'nibigħtilha', 'nibgħtielha', 'niebgħtilha']
L873: nibghatuhielhom -> nibagħtuhielhom | actual #1: nibghatuhielhom | [MISSING] | choices: []
L892: nikkoregijomla -> nikkoreġihomlha | actual #1: nikkoregijomla | [MISSING] | choices: []
L967: poggejtilhom -> poġġejtilhom | actual #1: poġġejthilhom | [MISSING] | choices: ['poġġejthilhom', 'poġġejtlhom', 'poġġejthielhom']
L968: poggiethieli -> poġġiethieli | actual #1: penniethieli | [MISSING] | choices: ['penniethieli']
L998: qaletli -> qaltli | actual #1: qaletli | [MISSING] | choices: []
L999: qaletlu -> qaltlu | actual #1: qaletlu | [MISSING] | choices: []
L1001: qalitli -> qaltli | actual #1: qalietli | [MISSING] | choices: ['qalietli', 'qallitli', 'qalitli']
L1002: qalitlu -> qaltlu | actual #1: qalietlu | [MISSING] | choices: ['qalietlu', 'qalithlu', 'qallitlu', 'qalitlu']
L1032: qratieli -> qrathieli | actual #1: qratili | [MISSING] | choices: ['qratili']
L1045: rcevejtom -> rċevejthom | actual #1: rcevejthom | [MISSING] | choices: ['rcevejthom', 'rcevejthhom']
L1047: rcivejtom -> rċivejthom | actual #1: rcivejthom | [SUGGESTED] | choices: ['rcivejthom', 'rċivejthom', 'rcivejthhom']
L1119: tagħkon -> tagħkom | actual #1: tagħkon | [MISSING] | choices: []
L1149: tghatihielhom -> tagħtihielhom | actual #1: tgħattihielhom | [MISSING] | choices: ['tgħattihielhom', 'tgħattahielhom', 'tgħattiehielhom', 'tgħattihilhom']
L1200: tippowstjom -> tippowstjahom | actual #1: tippowstjhom | [MISSING] | choices: ['tippowstjhom']
L1230: turijom -> turihom | actual #1: turijhom | [MISSING] | choices: ['turijhom', "t'urijhom"]
L1241: urethomlhom -> uriethomlhom | actual #1: iriethomlhom | [MISSING] | choices: ['iriethomlhom', 'irithomlhom', 'urtahomlhom', 'ierithomlhom', 'irtuhomlhom']
L1246: urijomla -> urihomlha | actual #1: urijomla | [MISSING] | choices: []
L1248: urithomlhom -> uriethomlhom | actual #1: irithomlhom | [MISSING] | choices: ['irithomlhom', 'ierithomlhom', 'iriethomlhom', 'urtahomlhom', 'irritahomlhom']
L1249: uriulu -> urihulu | actual #1: urielu | [MISSING] | choices: ['urielu', 'urilu']
L1299: xolhom -> xogħolhom | actual #1: x'olhom | [MISSING] | choices: ["x'olhom"]
L1306: zamejthom -> żammejthom | actual #1: zamejthom | [MISSING] | choices: []
L1328: zommhili -> żommhieli | actual #1: ziikhili | [MISSING] | choices: ['ziikhili', 'zikhili', 'zikuhili']
